feature,Bin,WoE,Event rate,Count (%),Feature IV,feature_coeff_model,score_points,rare_categories,feature_type
PA_RATIO_APPROVED_LOANS,"(0.4, 0.5]",-0.4635,0.12249825274795095,0.06397759422457806,0.0785723752441566,-0.2699094577024559,-3.609710524798681,,numerical
PA_RATIO_APPROVED_LOANS,"(0.5, 0.667]",-0.225834,0.09915511676476173,0.0856394913986537,0.0785723752441566,-0.2699094577024559,-1.7587818050860524,,numerical
PA_RATIO_APPROVED_LOANS,"(0.667, 0.833]",0.034688,0.07819198889387939,0.09955367305128289,0.0785723752441566,-0.2699094577024559,0.2701480877760877,,numerical
PA_RATIO_APPROVED_LOANS,"(0.833, 1.0]",0.148793,0.07035328128057364,0.6439993821339144,0.0785723752441566,-0.2699094577024559,1.1587910638972387,,numerical
PA_RATIO_APPROVED_LOANS,SPECIAL_-99999,0.3192109114566996,0.05999111242778848,0.054884394003447044,0.0785723752441566,-0.2699094577024559,2.4859956563448296,,numerical
PA_AVG_RISK_WEIGHT_1080D,"(0.999, 2.25]",0.333331,0.059199803179875145,0.2643572566745797,0.0780070323919673,-0.2451488666324799,2.3578171896323292,,numerical
PA_AVG_RISK_WEIGHT_1080D,"(2.25, 2.667]",0.11122,0.07285073434523444,0.13229651068257942,0.0780070323919673,-0.2451488666324799,0.7867147904962566,,numerical
PA_AVG_RISK_WEIGHT_1080D,"(2.667, 3.0]",-0.049426,0.08447391270029204,0.25749162628857597,0.0780070323919673,-0.2451488666324799,-0.3496148645483544,,numerical
PA_AVG_RISK_WEIGHT_1080D,"(3.0, 3.5]",-0.415359,0.11741682974559686,0.06854655133166401,0.0780070323919673,-0.2451488666324799,-2.9380423365018395,,numerical
PA_AVG_RISK_WEIGHT_1080D,"(3.5, 4.0]",-0.517557,0.12842861863846664,0.09840330395759488,0.0780070323919673,-0.2451488666324799,-3.6609400002236208,,numerical
PA_AVG_RISK_WEIGHT_1080D,SPECIAL_-99999,0.11368040356286724,0.07268472234845043,0.17890475106500603,0.0780070323919673,-0.2451488666324799,0.8041184577638104,,numerical
CB_WT_CREDIT_UTIL_TREND_3M_12M,"(-1.0119999999999998, 0.0]",0.178671,0.06842408527801787,0.14109297258625736,0.0468654171481113,-0.2627416066631954,1.354526337860792,,numerical
CB_WT_CREDIT_UTIL_TREND_3M_12M,"(0.0, 1.679]",-0.597581,0.13765546738702233,0.07222935839484895,0.0468654171481113,-0.2627416066631954,-4.530333425710888,,numerical
CB_WT_CREDIT_UTIL_TREND_3M_12M,SPECIAL_-99999,0.04140375671203823,0.07770928387993531,0.7866776690188937,0.0468654171481113,-0.2627416066631954,0.31388685882340345,,numerical
CB_AVG_ATM_WITHDRAWAL_FREQ_6M,"(-0.001, 0.167]",0.022621,0.07906619838857244,0.1377312932912751,0.0469709258597127,-0.6148658583808359,0.4013254608118545,,numerical
CB_AVG_ATM_WITHDRAWAL_FREQ_6M,"(0.167, 35.0]",-0.700263,0.150303911205074,0.06152645442424637,0.0469709258597127,-0.6148658583808359,-12.423560902015456,,numerical
CB_AVG_ATM_WITHDRAWAL_FREQ_6M,SPECIAL_-99999,0.07021681703699467,0.07566919980303469,0.8007422522844786,0.0469709258597127,-0.6148658583808359,1.2457361060127123,,numerical
